generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
0,250,0,25,4.4,5.20345,2.04569,0.153721,-0.257267,-0.062741,-0.270962,-0.163166,-0.207788,-0.0500798,-0.324487,-0.0794184,-0.125162,-0.13159,0.150785,0.0355509,-0.126347,0.0837103,0.310723,1.63445e-05,-0.257459,-0.105114,-0.35397,0.0880389,-0.462695,0,0,0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,6,6,6,7,10,11,15,25,1.22061,1.07152,1.05107,1.03752,1.00264,1.00133,0.994917,0.986025,0.982689,0.97674,0.973533,0.968101,0.965881,0.963422,0.960293,0.958987,0.958272,0.957398,0.956482,0.956155,0.956008,0.955828
1,500,5,29,15.3,6.18201,2.35094,1.39247,-0.561192,-0.862799,-0.013731,-1.14868,0.714745,-0.277037,-0.645758,-1.35805,-0.237445,0.171546,-0.743139,0.0814342,-0.986996,-0.251347,-0.317301,0.211683,-0.903862,-0.372417,-0.486573,0.252354,-2.18315,5,8,8,8,9,9,9,10,11,12,12,12,13,14,15,15,16,16,17,17,17,18,18,21,22,23,24,24,27,29,1.33867,1.16197,1.11133,1.07171,1.06438,1.04096,1.01456,1.00411,0.986277,0.976202,0.96719,0.966037,0.960479,0.949261,0.944197,0.938479,0.935353,0.93073,0.924696,0.9219,0.920284,0.918149
2,750,9,66,39.0667,14.7927,2.67112,1.6569,-1.56482,-1.54393,-0.401481,-1.66779,-0.23209,-0.655134,-0.593288,-0.921549,-1.24345,0.0289968,-1.98899,-1.30122,-1.02512,-0.751013,-0.649027,0.33142,-1.40541,-1.0181,-1.60115,-0.704832,-2.4756,9,10,22,23,24,27,29,29,30,31,31,33,35,37,37,38,39,41,41,46,50,50,53,53,53,55,57,59,64,66,1.40911,1.17312,1.12947,1.10262,1.06639,1.04551,1.0404,1.01729,0.995619,0.975134,0.961516,0.957341,0.948795,0.94158,0.937395,0.926853,0.921252,0.910254,0.908473,0.903541,0.896582,0.890405
3,1000,16,117,45.2333,25.1145,3.15448,1.04124,-1.98392,-2.66478,-1.5211,-1.7159,-0.526597,-0.6433,-0.301941,-0.937935,-2.76314,-0.881842,-3.14281,-0.519879,-2.13078,-0.437446,-1.49978,-0.0274472,-2.64518,-1.32821,-1.67798,-0.956388,-4.44077,16,18,19,23,25,26,26,28,28,29,34,34,37,38,38,38,38,41,44,46,47,50,58,59,69,70,73,75,113,117,1.55983,1.17189,1.14703,1.10816,1.07948,1.0512,1.04094,1.00704,0.995955,0.971575,0.967938,0.952843,0.945378,0.935709,0.91793,0.908587,0.905924,0.896446,0.891761,0.874508,0.871714,0.86539
4,1250,5,37,20.9,7.68945,4.15492,3.10021,-3.39908,-3.07604,-2.59242,-3.79197,-0.967538,0.227666,-0.12999,-2.23203,-5.63864,-3.28475,-3.80323,0.24613,-4.87669,-0.357588,-1.49803,-0.555893,-2.53507,-1.7311,-2.81916,-2.49405,-6.19423,5,7,11,12,13,14,15,16,17,17,18,19,19,20,20,21,21,23,23,23,25,25,26,27,27,28,32,32,34,37,1.77256,1.1787,1.13238,1.09977,1.09074,1.04568,1.03677,1.01638,1.00172,0.991023,0.956893,0.946477,0.941969,0.931399,0.90727,0.89675,0.887903,0.881857,0.868719,0.855137,0.852866,0.846446
5,1500,18,154,63.7333,30.7189,5.15841,2.69061,-2.90791,-2.52248,-3.2571,-3.66852,-1.32258,-2.68152,-0.682958,-1.9912,-6.67457,-6.19435,-4.1949,0.526136,-4.89974,-1.62631,-1.93053,-0.0680371,-4.07796,-2.663,-4.63093,-3.75802,-9.20705,18,21,27,30,34,39,40,45,46,47,51,52,52,57,60,61,61,63,66,67,70,72,81,81,92,95,98,107,125,154,1.82576,1.21513,1.14507,1.11654,1.07966,1.06448,1.02869,1.00579,0.991169,0.984935,0.958364,0.939041,0.924827,0.917931,0.910336,0.887748,0.882382,0.867029,0.854333,0.832312,0.828312,0.824943
6,1750,26,132,59.8667,26.1451,6.19236,2.56655,-2.19821,-3.83545,-3.91959,-4.44151,-3.33518,-2.433,-1.91924,-3.56183,-7.20143,-6.59243,-5.07866,-0.538694,-7.11937,-2.1179,-3.7399,-0.448157,-6.75211,-4.31918,-4.4073,-8.07015,-10.0393,26,28,30,30,33,38,38,40,43,44,45,47,53,55,56,56,61,62,63,66,66,67,68,72,76,91,95,97,118,132,1.85889,1.21863,1.15635,1.14215,1.05988,1.05484,1.01654,1.00751,0.989974,0.970692,0.963388,0.920444,0.91847,0.900009,0.886998,0.881544,0.865292,0.84833,0.838423,0.812583,0.810365,0.804782
7,2000,22,268,99.3667,61.6662,7.46153,3.97216,-4.25642,-4.52727,-5.20961,-6.50854,-2.79317,-0.594628,-4.15698,-4.15099,-7.34912,-3.97227,-5.46562,-2.79336,-8.19046,-3.43031,-5.92859,-0.364304,-7.51818,-5.79234,-6.08169,-12.2757,-15.3407,22,27,42,43,43,46,49,54,60,63,68,68,72,76,76,85,86,87,93,94,109,127,146,147,157,175,179,184,235,268,1.86278,1.21459,1.15388,1.13036,1.04916,1.03981,1.02013,0.993256,0.978682,0.96736,0.964961,0.938223,0.926269,0.885253,0.880454,0.859688,0.854723,0.840975,0.816765,0.799593,0.793036,0.784076
8,2250,24,282,98.0667,64.5744,8.79577,5.98386,-3.12903,-5.08905,-6.12184,-7.27421,-2.69649,-2.85262,-5.48469,-4.42079,-7.0197,-2.67527,-7.34183,-5.21726,-12.5413,-4.44318,-6.13967,-2.04119,-8.92569,-6.55987,-7.25759,-16.883,-17.4665,24,30,32,33,33,44,49,61,63,64,66,67,68,73,77,86,87,88,90,92,98,103,129,141,158,167,200,214,223,282,1.84633,1.22211,1.15098,1.13195,1.04232,1.03964,1.02185,0.992977,0.973894,0.960994,0.956238,0.920265,0.913964,0.885105,0.870161,0.861728,0.83315,0.820429,0.809121,0.804355,0.775043,0.762055
9,2500,35,188,95.4333,40.4626,10.007,3.77343,-1.84764,-7.05501,-6.60486,-9.84501,-2.98484,-2.79748,-7.82878,-3.75589,-8.80102,-4.96064,-8.50284,-3.71313,-17.2806,-5.61446,-7.83856,-2.48281,-11.2123,-10.6927,-9.82828,-17.7069,-22.3269,35,46,48,49,51,55,60,67,69,73,75,76,81,85,87,94,96,97,101,101,102,103,114,134,140,149,158,160,169,188,1.85271,1.19222,1.14451,1.13972,1.05289,1.02823,1.00061,0.997869,0.984579,0.966037,0.938398,0.921808,0.906485,0.893338,0.855535,0.846927,0.818837,0.805966,0.800825,0.792137,0.771898,0.752072
10,2750,23,187,89.8,46.2932,12.0876,5.60721,-0.818543,-3.49075,-10.3923,-10.5965,-1.55644,-6.13147,-13.2214,-4.75663,-8.26344,-5.90441,-9.14497,-9.23265,-23.795,-6.10757,-7.54899,-6.84298,-19.0449,-11.4103,-12.471,-22.2968,-25.8823,23,32,41,44,44,50,51,55,61,61,63,66,70,73,74,76,82,85,95,96,99,108,122,133,134,156,159,168,186,187,1.89726,1.19794,1.185,1.13048,1.05855,1.04942,0.988766,0.983085,0.969569,0.955429,0.937857,0.918461,0.894759,0.876114,0.853365,0.838329,0.809756,0.797844,0.788058,0.777752,0.756496,0.728323
11,3000,32,246,106.633,50.722,14.8042,8.98387,-1.08689,-12.358,-15.3103,-12.8442,-3.94916,-9.30894,-16.3544,-10.6519,-8.05201,-1.02849,-15.5346,-8.94257,-28.4983,-12.3751,-9.44729,-8.96831,-18.0147,-13.0079,-13.0962,-28.5282,-33.652,32,43,49,52,56,58,66,72,78,79,79,86,92,92,95,105,108,118,119,120,121,123,130,133,134,139,166,175,233,246,1.9631,1.24266,1.16419,1.12707,1.08488,1.03884,1.02884,0.998294,0.955208,0.932555,0.92894,0.916474,0.903029,0.874201,0.832131,0.827776,0.809239,0.787628,0.769772,0.766491,0.739648,0.711936
12,3250,37,683,149.4,122.81,17.1384,8.82998,-2.01417,-12.7809,-9.64914,-17.324,-9.7759,-8.85633,-12.3008,-14.0181,-16.8577,-2.57158,-19.7039,-14.1868,-30.6693,-6.21667,-16.7474,-8.08152,-19.0884,-15.2828,-11.2984,-33.3696,-43.6027,37,43,55,70,71,73,78,79,80,80,82,85,98,104,119,124,130,138,151,155,155,159,162,188,221,228,231,289,314,683,1.95697,1.23536,1.15585,1.11709,1.08472,1.05191,1.01848,0.994352,0.934775,0.920215,0.908348,0.901462,0.88,0.868006,0.83582,0.819876,0.806179,0.780607,0.756911,0.748044,0.72492,0.70123
13,3500,42,345,128.233,80.9626,20.8062,10.5357,-11.7875,-12.2186,-13.8641,-14.9891,-12.5408,-5.34114,-26.153,-13.0356,-25.3457,-5.96466,-24.8134,-15.2663,-32.7239,-8.119,-19.8836,-16.6677,-27.1993,-20.5762,-19.6047,-36.6389,-61.6232,42,54,55,59,63,66,67,68,69,72,76,77,84,91,102,105,110,120,123,124,126,147,177,188,201,225,226,254,331,345,2.05275,1.21238,1.16366,1.14277,1.08228,1.06456,1.00716,0.98965,0.94069,0.911373,0.894139,0.881249,0.871778,0.858689,0.832121,0.815671,0.802785,0.758532,0.741264,0.738309,0.727345,0.692514
14,3750,65,471,138.5,86.9331,24.5271,8.14571,-17.4782,-15.3704,-11.8296,-16.0419,-12.9912,-2.8977,-28.6681,-17.5224,-24.6019,-9.38059,-25.9783,-7.01259,-31.8561,-12.6556,-24.6908,-20.1132,-25.6672,-30.2617,-27.482,-46.416,-76.3075,65,68,74,78,78,81,85,86,89,94,94,95,99,101,107,107,109,112,124,127,151,153,170,173,180,191,207,253,333,471,2.04359,1.20792,1.15514,1.1476,1.09359,1.04991,1.00274,0.977203,0.93502,0.905091,0.887229,0.876311,0.869026,0.846373,0.824355,0.800525,0.794834,0.752746,0.735168,0.720477,0.716801,0.6815
15,4000,49,392,149.8,101.918,29.3061,9.98849,-18.3142,-17.1144,-22.418,-28.4117,-18.0671,-9.08837,-33.7016,-23.677,-25.241,-8.14959,-32.6614,-18.7492,-40.2065,-15.4221,-34.2413,-33.8422,-36.1301,-31.7194,-25.3662,-64.07,-89.8677,49,50,52,59,62,63,66,67,67,77,106,106,113,114,118,122,122,138,143,144,159,166,172,205,253,258,281,382,388,392,2.07322,1.21314,1.17917,1.14029,1.07785,1.04752,1.00436,0.986879,0.924644,0.906855,0.889411,0.880729,0.851294,0.836764,0.813271,0.787294,0.779805,0.741126,0.727381,0.714644,0.702945,0.663859
16,4250,34,343,138.333,85.2454,36.3849,2.25457,-7.91273,-26.1589,-18.1405,-37.2187,-29.6155,-27.0802,-39.9645,-45.4812,-21.1566,-15.9441,-36.072,-28.6578,-47.9082,-22.6761,-35.838,-32.5421,-56.2716,-42.2521,-35.7986,-71.8708,-106.704,34,43,46,59,60,61,66,71,72,75,79,81,93,97,119,119,126,129,136,148,168,180,217,218,244,259,268,268,271,343,2.1373,1.19584,1.16236,1.14171,1.05163,1.04811,0.994056,0.973385,0.934327,0.903638,0.885018,0.870057,0.841682,0.836443,0.813175,0.779291,0.774846,0.736624,0.728093,0.700533,0.686176,0.65413
17,4500,46,946,235.433,171.369,43.7386,-4.34557,-19.045,-40.3892,-35.5576,-39.0856,-34.439,-16.7829,-40.4383,-49.038,-32.1526,-28.6237,-37.3938,-27.9046,-55.8215,-15.8929,-36.3792,-29.2509,-58.1882,-53.4317,-58.1113,-75.643,-151.043,46,46,71,82,87,91,113,122,123,141,163,180,190,191,219,229,239,240,251,256,265,275,301,314,318,361,377,405,421,946,2.16048,1.21088,1.1732,1.13845,1.06377,1.04646,0.990984,0.949298,0.917583,0.903969,0.872696,0.85803,0.853243,0.825557,0.801079,0.78012,0.768101,0.72378,0.708501,0.69237,0.679926,0.636279
18,4750,43,690,213.667,166.397,54.0428,7.7734,-27.4191,-26.2255,-65.7477,-48.7948,-42.3166,-13.1191,-55.6112,-65.1027,-41.5385,-35.3197,-67.317,-50,-73.7796,-27.0723,-26.1656,-50.9187,-80.6417,-58.417,-78.2378,-73.2615,-187.199,43,56,56,72,76,84,97,97,100,101,129,144,145,148,153,155,156,202,209,216,224,237,247,298,314,358,492,501,610,690,2.22514,1.19463,1.16708,1.11981,1.05204,1.04607,0.980055,0.943621,0.915421,0.895051,0.870255,0.843738,0.832467,0.819065,0.795109,0.779585,0.748479,0.725727,0.694358,0.679285,0.670234,0.638205
19,5000,32,580,182.367,131.929,63.9744,9.13252,-36.1026,-26.0846,-77.8614,-57.2647,-49.6073,-46.1481,-66.4535,-81.6769,-48.2523,-62.7129,-64.1987,-63.4617,-62.9959,-24.9978,-44.6114,-64.1411,-78.0529,-72.4093,-88.0242,-99.0622,-214.66,32,42,42,51,55,60,84,91,111,115,124,127,130,132,133,139,147,162,173,181,193,216,260,267,286,352,375,400,411,580,2.22271,1.21862,1.16208,1.10281,1.05587,1.03355,0.961968,0.928373,0.923558,0.886321,0.857572,0.836571,0.824212,0.809254,0.779375,0.776083,0.7361,0.714343,0.693502,0.664163,0.653464,0.618604
20,5250,69,748,258.1,196.68,68.3557,23.8016,-11.6687,-31.1151,-69.0078,-65.6787,-57.2237,-4.77466,-53.8131,-78.0003,-52.8593,-45.8277,-59.9319,-68.4344,-59.1991,-41.1197,-43.6087,-63.5838,-91.0085,-90.3523,-84.9288,-106.701,-246.757,69,88,93,99,101,113,123,124,138,148,149,150,153,155,156,161,168,210,213,229,253,289,360,372,474,484,546,655,722,748,2.20248,1.18927,1.16835,1.07601,1.04726,1.025,0.942603,0.917515,0.901355,0.882448,0.844732,0.827362,0.817386,0.786053,0.763934,0.754003,0.732219,0.712783,0.674061,0.656241,0.640911,0.605357
21,5500,40,744,251.9,179.793,75.6771,12.6691,-24.4343,-52.3152,-75.2162,-60.8344,-72.7976,18.8011,-106.63,-80.7244,-55.5894,-23.6413,-76.6733,-81.4644,-87.5268,-68.4585,-47.1942,-88.0355,-89.203,-112.911,-82.7197,-113.754,-290.092,40,46,50,50,55,115,119,131,132,151,168,184,202,205,205,205,206,220,251,275,327,327,329,361,390,398,451,505,715,744,2.20993,1.2236,1.16821,1.06477,1.03437,1.0278,0.945275,0.904281,0.879848,0.863711,0.819881,0.814262,0.805673,0.764523,0.749839,0.737072,0.729242,0.69362,0.66395,0.642363,0.626008,0.591818
22,5750,56,568,218.733,108.325,89.7712,5.98363,-27.743,-71.2619,-75.9843,-74.951,-61.7713,0.930387,-107.333,-95.3484,-78.1389,-27.0641,-100.341,-88.8961,-145.826,-91.022,-73.6285,-123.468,-102.001,-148.547,-107.312,-138.01,-364.585,56,78,99,113,114,124,125,127,158,163,167,180,199,200,211,213,214,222,223,225,236,246,269,305,316,317,323,365,406,568,2.35163,1.23122,1.1554,1.06359,1.04131,1.01372,0.950682,0.903807,0.865331,0.84978,0.831431,0.819606,0.798033,0.762184,0.739625,0.725943,0.710034,0.682852,0.656798,0.639672,0.621647,0.58422
23,6000,68,779,282.3,194.192,111.029,32.698,-20.8154,-88.0506,-92.7305,-127.188,-66.9505,-9.76442,-131.803,-128.61,-119.506,-28.8426,-74.0478,-109.653,-174.905,-113.291,-44.9802,-163.27,-161.966,-160.011,-128.514,-184.016,-461.714,68,76,79,92,127,128,138,145,173,180,182,188,206,224,226,227,239,251,253,257,268,304,352,396,457,479,581,622,772,779,2.47372,1.21888,1.15146,1.06911,1.0308,1.00579,0.939033,0.892853,0.870794,0.849023,0.831085,0.807781,0.794985,0.747826,0.730481,0.720098,0.697411,0.664114,0.644912,0.636468,0.622025,0.592827
24,6250,45,752,300.3,199.313,143.834,33.6508,-32.4304,-127.827,-104.855,-172.847,-93.7875,-67.1598,-180.414,-86.7436,-188.713,-28.2801,-143.218,-126.705,-268.167,-117.09,-94.6687,-214.559,-202.042,-178.72,-145.112,-205.279,-577.787,45,67,70,102,128,133,133,145,172,186,187,188,196,198,253,285,286,307,314,318,331,343,376,399,546,551,622,664,712,752,2.63881,1.21929,1.12436,1.07044,1.0334,1.00804,0.948037,0.902171,0.865147,0.84143,0.82829,0.786674,0.775736,0.733629,0.719293,0.703642,0.690029,0.657603,0.646009,0.620913,0.610269,0.586499
25,6500,48,777,269.9,188.67,178.583,51.1197,-45.8706,-132.792,-149.242,-156.108,-69.0087,-66.9666,-278.73,-54.963,-244.049,-64.1067,-124.929,-97.076,-316.712,-149.059,-98.4911,-215.203,-239.134,-219.708,-209.736,-256.379,-721.1,48,65,96,112,113,122,127,128,137,138,156,171,179,181,212,221,226,250,262,288,297,327,334,421,447,455,462,644,701,777,2.66159,1.22876,1.12055,1.09282,1.02406,1.01774,0.938583,0.895855,0.843733,0.831283,0.812466,0.779112,0.764434,0.719793,0.704296,0.699708,0.673221,0.666991,0.638767,0.604639,0.594333,0.574691
26,6750,60,2248,394.667,425.694,196.293,47.981,-83.8324,-198.781,-192.087,-161.102,-125.829,-73.5855,-235.734,-37.1785,-264.272,-28.3183,-194.957,-99.3209,-341.294,-136.382,-171.805,-264.923,-248.807,-244.549,-232.891,-244.573,-761.318,60,76,96,105,118,136,139,144,165,199,228,233,245,249,260,264,337,342,388,388,391,414,424,425,506,521,690,922,1127,2248,2.64962,1.21225,1.10187,1.06809,1.02242,0.993928,0.941846,0.893104,0.831598,0.820432,0.799286,0.768338,0.755215,0.708462,0.687433,0.685289,0.669405,0.658439,0.630162,0.6065,0.582914,0.572393
27,7000,122,1065,452.4,223.014,228.346,138.659,-55.7244,-275.921,-204.356,-240.188,-183.231,-129.932,-289.549,-105.877,-304.071,-31.7284,-226.369,-120.349,-378.268,-202.059,-224.998,-372.934,-361.022,-251.496,-277.305,-320.334,-958.615,122,136,139,170,232,234,286,331,353,358,376,387,392,395,397,400,401,416,489,507,555,577,591,603,617,690,718,782,853,1065,2.7605,1.20418,1.0853,1.06008,1.00897,0.970118,0.935193,0.891705,0.827333,0.807396,0.794503,0.762901,0.73709,0.696748,0.669423,0.668739,0.657695,0.643343,0.624067,0.598339,0.569568,0.561532
28,7250,83,989,347.933,216.231,286.019,105.872,-20.206,-306.094,-312.857,-346.414,-208.021,-196.971,-398.557,-146.821,-377.502,-79.6859,-299.006,-234.332,-476.52,-295.585,-204.8,-507.357,-503.182,-270.01,-320.373,-500.159,-1210.5,83,94,99,130,134,160,176,218,233,238,263,277,278,289,290,291,297,302,324,339,384,386,444,527,538,586,595,651,823,989,2.919,1.20906,1.09301,1.05708,1.00717,0.960436,0.92727,0.876927,0.822942,0.808551,0.768466,0.745802,0.720642,0.685139,0.67354,0.666876,0.653924,0.631942,0.616568,0.592562,0.570515,0.55064
29,7500,75,1177,368.633,253.364,340.757,80.8649,57.5163,-396.369,-326.576,-350.829,-264.812,-251.706,-488.77,-233.723,-420.177,-168.14,-313.797,-263.25,-568.525,-272.037,-228.16,-548.179,-550.13,-247.849,-382.233,-599.706,-1465.9,75,91,108,109,111,149,170,186,194,200,259,280,287,292,297,298,304,361,372,375,398,412,500,531,658,694,701,708,762,1177,2.93121,1.17545,1.08865,1.04251,0.996438,0.942755,0.903215,0.870461,0.811037,0.794751,0.748507,0.745703,0.702972,0.693236,0.65969,0.651325,0.641469,0.621374,0.606936,0.577921,0.559209,0.542653
30,7750,105,1298,402.733,297.337,428.397,-63.9613,30.5715,-463.446,-515.698,-563.689,-276.193,-307.859,-581.844,-295.918,-602.503,-193.647,-420.871,-361.158,-838.569,-449.444,-331.139,-714.157,-669.864,-427.028,-620.211,-580,-1891.14,105,107,119,154,155,159,170,198,209,217,219,225,244,258,297,320,328,332,384,394,411,565,572,613,635,679,805,874,1036,1298,3.1004,1.14698,1.09567,1.04939,0.991741,0.966851,0.895021,0.854733,0.825275,0.78611,0.747533,0.729433,0.696348,0.679748,0.656739,0.650374,0.629915,0.616492,0.590707,0.573788,0.548276,0.531238
31,8000,66,1234,309.667,239.933,543.586,-107.314,-75.332,-718.368,-604.486,-756.332,-378.786,-264.601,-834.179,-429.416,-839.037,-296.88,-701.408,-429.825,-999.243,-544.71,-326.939,-908.096,-907.875,-667.662,-785.048,-748.039,-2347.26,66,89,100,115,120,130,136,156,160,170,181,199,211,224,234,247,249,255,299,317,326,327,392,495,504,517,590,603,644,1234,3.27205,1.18133,1.09977,1.03375,0.964074,0.945797,0.887547,0.85639,0.830779,0.784305,0.730809,0.724056,0.677515,0.670947,0.652563,0.647627,0.617768,0.601955,0.582795,0.564654,0.545615,0.524119
32,8250,119,991,477.133,290.762,685.83,-120.856,-275.129,-932.683,-917.771,-799.533,-555.831,-482.219,-1081.65,-624.901,-937.213,-275.885,-907.605,-380.601,-1298.14,-660.285,-442.521,-947.825,-993.424,-750.106,-1035.59,-1015.79,-3004.13,119,136,142,145,161,164,175,183,210,262,325,346,359,413,441,443,444,502,537,542,544,695,715,779,791,848,964,968,970,991,3.36928,1.16411,1.08904,1.03586,0.948097,0.932121,0.886746,0.867566,0.831923,0.777181,0.71465,0.708237,0.678883,0.664198,0.65615,0.640493,0.610839,0.593284,0.563591,0.549341,0.536251,0.511891
33,8500,43,2835,661.967,681.402,857.754,-36.7679,-449.569,-1208.02,-1125.23,-999.52,-814.017,-791.881,-1402.44,-812.315,-1330.83,-312.538,-1047.98,-581.992,-1532.57,-812.859,-567.844,-1136.04,-1268.07,-869.552,-1154.5,-1288.16,-3790.25,43,111,124,145,171,181,289,304,343,344,345,353,406,416,416,447,464,478,480,513,531,541,607,822,1060,1214,1657,1725,2494,2835,3.42059,1.14948,1.0748,1.03454,0.958423,0.933624,0.906615,0.86018,0.82013,0.757533,0.710711,0.701594,0.669641,0.647543,0.641591,0.624381,0.60006,0.587466,0.553151,0.535853,0.528444,0.509271
34,8750,80,2165,699.9,606.418,1104.77,356.277,-249.998,-1540.57,-1374.18,-1029.52,-1251.28,-767.983,-1692.02,-1240.84,-1394.37,-276.132,-1326.42,-956.275,-1752.43,-1167.59,-900.433,-1435.82,-1551.61,-1239.23,-1352.05,-1683.28,-4956.5,80,107,121,137,138,219,265,279,303,330,344,367,374,390,481,516,581,586,654,668,693,702,888,1101,1473,1498,1829,1830,1878,2165,3.47641,1.12397,1.08149,1.0502,0.967225,0.925418,0.900971,0.848447,0.805333,0.782242,0.70385,0.692566,0.670121,0.63839,0.632974,0.614603,0.588891,0.579116,0.541617,0.531082,0.516177,0.499947
35,9000,77,1560,377.833,310.11,1422.04,457.699,-595.836,-1831.81,-1426.05,-1580.74,-1466.84,-1321.66,-1829.22,-1558.14,-2077.05,-614.053,-1368.16,-1203.33,-2125.46,-1799.27,-1300.31,-1881.79,-1841.11,-1614.62,-1684.14,-2324.38,-6110.52,77,88,93,109,152,164,189,193,203,206,215,256,261,266,267,269,294,324,348,416,432,446,475,481,485,586,655,882,943,1560,3.57901,1.11139,1.05855,1.03842,0.952852,0.916147,0.887711,0.840927,0.805095,0.767405,0.690402,0.677048,0.665268,0.628895,0.623445,0.60978,0.578069,0.573846,0.538706,0.51429,0.503336,0.48752
36,9250,49,1407,443.633,305.928,1727.74,274.152,-575.774,-2221.37,-2174.12,-2059.82,-1179.58,-1426.98,-2207.3,-1778.18,-2215.02,-656.302,-1877.11,-1261.26,-2707.28,-1429.93,-1649.82,-1977.99,-2890.67,-1970.36,-2400.84,-2943.93,-7683.78,49,158,170,193,238,244,245,251,256,274,275,298,303,310,320,327,334,339,428,450,491,563,570,594,611,712,758,1003,1138,1407,3.61781,1.12214,1.05889,1.02137,0.94334,0.910718,0.893795,0.844752,0.805393,0.749827,0.694678,0.672672,0.655759,0.630549,0.610342,0.603196,0.583337,0.563872,0.529325,0.502175,0.49129,0.486243
37,9500,58,3041,745.9,702.099,2079.33,65.8228,-969.65,-3085.06,-2536.89,-2687.51,-1826.21,-2262.56,-2487.09,-2060.86,-2715.17,-1173.24,-1948.13,-2017.48,-3080.58,-1749.42,-2875,-2355.38,-3195.91,-2181.72,-2504.56,-2954.69,-8979.07,58,81,122,135,157,166,167,167,208,222,225,258,477,546,568,602,608,626,712,790,817,1039,1204,1211,1222,1567,1744,1758,1879,3041,3.5953,1.13464,1.03855,1.0041,0.958728,0.9039,0.887922,0.831024,0.789012,0.752577,0.691462,0.660966,0.64798,0.623074,0.591451,0.586758,0.57329,0.556659,0.518036,0.491998,0.486434,0.475346
38,9750,111,2829,665.733,575.307,2579.01,64.7015,-1347.26,-3007.92,-2708.26,-3093.66,-2910.57,-2770.55,-3000.03,-2606.81,-3729.64,-1524.8,-2508.9,-2250.15,-3539.61,-2775.02,-3240.16,-2607.11,-3932.94,-2672.65,-3308.69,-4553.26,-11879.1,111,159,161,177,227,259,304,310,328,349,386,387,397,403,417,432,483,506,546,653,850,897,928,1036,1075,1076,1094,1582,1610,2829,3.62211,1.11071,1.00969,0.985982,0.951368,0.891058,0.88352,0.840069,0.78126,0.764001,0.674747,0.659742,0.639996,0.611636,0.586871,0.579868,0.562276,0.545403,0.509299,0.496725,0.486546,0.471482
39,10000,66,1554,498.067,394.009,3220.5,427.597,-1110.38,-3925.92,-3311.65,-4392.66,-2498.17,-4169.65,-3800.91,-3664.17,-4518.13,-704.457,-3608.44,-2694.06,-5566.35,-3097.93,-3687.03,-3870.64,-5916.01,-3717,-4411.59,-5817.97,-15136.1,66,95,101,138,173,187,188,189,195,196,214,274,299,318,327,384,390,402,495,579,639,655,704,871,881,934,1119,1157,1218,1554,3.73407,1.10897,0.994325,0.973851,0.936686,0.88661,0.868231,0.830051,0.769335,0.743269,0.674285,0.644302,0.627613,0.601856,0.581519,0.569615,0.556769,0.535713,0.493638,0.488132,0.479916,0.466451
40,10250,85,1694,510.9,387.977,3918.88,48.3381,100.718,-3754.96,-3174.97,-5215.94,-3709.9,-4118.07,-4433.61,-3230.75,-4344.75,-1139.01,-3169.41,-3278.33,-7099.41,-3097.19,-4248.37,-4558.49,-7680.24,-3763.05,-5895.49,-6783.29,-18352,85,100,102,130,136,139,183,238,239,254,267,275,346,374,397,461,537,537,542,599,599,668,732,741,745,903,933,980,1391,1694,3.67876,1.11273,0.998236,0.984824,0.957308,0.88115,0.868907,0.829741,0.768225,0.73977,0.687631,0.635483,0.63144,0.590973,0.567198,0.555255,0.546024,0.53117,0.488361,0.486445,0.473416,0.456583
41,10500,99,1990,550.2,486.044,4440.82,591.741,463.617,-5641.96,-4772.19,-6061.21,-4160.34,-4655.06,-6251.21,-4454.31,-5105.55,-3127.22,-4646.01,-4315.63,-7510.3,-3259.3,-4235.84,-5568.07,-8047.18,-4949.23,-6772.53,-8030.44,-21768.6,99,105,139,147,152,158,178,185,217,229,269,289,324,372,380,394,447,481,517,534,572,696,736,786,863,974,1008,1588,1677,1990,3.69051,1.11721,0.980497,0.969894,0.943504,0.881545,0.858482,0.827526,0.774005,0.736701,0.677368,0.626626,0.615956,0.581136,0.551037,0.539354,0.53455,0.518403,0.481605,0.475985,0.46839,0.451
42,10750,92,2500,868.8,646.236,5877.48,-1644.52,511.584,-7498.69,-7544.12,-7614.46,-5561.1,-6452,-9145.56,-4816.74,-5146.31,-3561.31,-6749.42,-5319.56,-9423.78,-6109.65,-6143.36,-8829.08,-9641.85,-4667.62,-7775.17,-10884.6,-30355.7,92,190,275,291,307,321,324,333,367,388,415,497,519,598,620,688,859,1001,1010,1033,1114,1121,1163,1224,1229,1364,1668,2228,2325,2500,4.10942,1.11354,1.00615,0.947846,0.923152,0.866382,0.850062,0.814351,0.768227,0.719318,0.664644,0.619642,0.613326,0.568515,0.555338,0.532845,0.521613,0.507154,0.47308,0.465684,0.455297,0.451108
